%	"NGRIP, GRIP and GISP2 ?18O and calcium concentration in 50 yrs means on the GICC05modelext timescale"
%
%   Please note that this file has been modified for the SEAMUS tutorial by Bryan Lougheed (duplicate measurements averaged)
%   This file is, therefore, only meant for demonstration purposes for the SEAMUS tutorial and not to be used for research.
%   For the original data, please consult the original excel file by the original authors, which you can download from here: http://www.iceandclimate.nbi.ku.dk/data/
%
%	2	3	4	5	6	7	8	9	10	11	12	13
%Age	NGRIP1 depth	d18O NGRIP1	NGRIP2 depth	d18O NGRIP2	[Ca2+] NGRIP2	GRIP depth	d18O GRIP	[Ca2+] GRIP	GISP2 depth	d18O GISP2	[Ca2+] GISP2	MCE
%(years b2k)	(m)	(?)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(years)
5950	959.19	-34.47	NaN	NaN	NaN	1069.32	-34.67	NaN	1120.49	-34.72	8.72	16
6000	965.21	-34.83	NaN	NaN	NaN	1075.68	-34.77	NaN	1127.11	-34.57	12.69	16
6050	971.45	-34.98	NaN	NaN	NaN	1082.36	-35.07	NaN	1133.86	-34.65	7.26	16
6100	977.83	-34.78	NaN	NaN	NaN	1088.2	-34.94	NaN	1139.76	-34.77	7.52	17
6150	983.68	-34.89	NaN	NaN	NaN	1094.82	-34.99	NaN	1146.45	-35.09	7.39	17
6200	989.94	-34.51	NaN	NaN	NaN	1100.78	-34.77	NaN	1152.47	-34.51	7.33	17
6250	996.26	-34.63	NaN	NaN	NaN	1107.02	-34.93	NaN	1158.77	-34.84	8.31	17
6300	1002.84	-34.83	NaN	NaN	NaN	1113.53	-34.7	NaN	1165.35	-35.02	8.93	18
6350	1009.24	-34.88	NaN	NaN	NaN	1119.73	-34.98	NaN	1171.61	-34.72	7.85	18
6400	1015.62	-34.78	NaN	NaN	NaN	1126.01	-35.06	NaN	1178.1	-34.79	9.15	18
6450	1021.94	-34.38	NaN	NaN	NaN	1132.03	-34.8	NaN	1184.15	-34.65	7.85	18
6500	1027.6	-34.54	NaN	NaN	NaN	1137.98	-34.89	NaN	1190.09	-34.83	8.12	19
6550	1033.56	-34.43	NaN	NaN	NaN	1143.71	-34.84	NaN	1195.96	-34.83	7.66	19
6600	1039.75	-35.15	NaN	NaN	NaN	1149.95	-34.74	NaN	1202.53	-35.03	8.43	19
6650	1046.11	-34.37	NaN	NaN	NaN	1155.99	-34.85	NaN	1208.8	-34.75	7.03	19
6700	1052.32	-34.73	NaN	NaN	NaN	1161.82	-34.76	NaN	1214.83	-34.68	7.29	20
6750	1058.88	-34.4	NaN	NaN	NaN	1167.95	-34.9	NaN	1221.12	-34.91	8.88	20
6800	1064.83	-34.83	NaN	NaN	NaN	1173.65	-34.48	NaN	1226.89	-34.45	8.71	20
6850	1070.87	-34.42	NaN	NaN	NaN	1179.7	-34.7	NaN	1233.01	-34.17	8.1	20
6900	1077.09	-34.64	NaN	NaN	NaN	1185.25	-35	NaN	1238.62	-34.24	7.22	21
6950	1083.41	-34.58	NaN	NaN	NaN	1191.49	-34.91	NaN	1244.91	-34.22	7.93	22
7000	1088.77	-34.77	NaN	NaN	NaN	1196.99	-34.51	NaN	1250.44	-34.61	9.69	23
7050	1094.71	-34.67	NaN	NaN	NaN	1202.59	-34.92	NaN	1256.13	-34.62	8.27	24
7100	1100.75	-34.65	NaN	NaN	NaN	1208.4	-34.72	NaN	1262.14	-35.07	8.02	25
7150	1107.14	-34.85	NaN	NaN	NaN	1214.31	-34.8	NaN	1268.25	-34.85	7.85	26
7200	1112.82	-34.87	NaN	NaN	NaN	1219.84	-34.97	NaN	1274.06	-34.78	8.08	27
7250	1118.77	-34.75	NaN	NaN	NaN	1225.49	-34.77	NaN	1280.05	-35.01	6.61	28
7300	1124.25	-34.64	NaN	NaN	NaN	1230.89	-34.56	NaN	1285.96	-34.98	7.22	29
7350	1130.28	-34.9	NaN	NaN	NaN	1236.24	-34.19	NaN	1291.61	-34.58	6.75	30
7400	1136.34	-34.49	NaN	NaN	NaN	1242.41	-34.67	NaN	1298.07	-34.56	7.47	31
7450	1141.94	-34.48	NaN	NaN	NaN	1248.08	-34.65	NaN	1303.91	-34.44	8.37	32
7500	1147.83	-34.31	NaN	NaN	NaN	1253.89	-34.61	NaN	1309.87	-34.54	8.78	33
7550	1153.86	-34.76	NaN	NaN	NaN	1259.79	-34.78	NaN	1315.98	-35.02	7.65	34
7600	1159.81	-34.63	NaN	NaN	NaN	1265.55	-34.65	NaN	1321.92	-34.62	8.15	35
7650	1165.1	-34.27	NaN	NaN	NaN	1270.7	-34.55	NaN	1327.19	-34.55	7.89	36
7700	1170.54	-34.12	NaN	NaN	NaN	1276.21	-34.78	NaN	1332.85	-34.42	7.87	37
7750	1176.31	-34.4	NaN	NaN	NaN	1281.82	-34.42	NaN	1338.63	-34.26	8.67	38
7800	1182.27	-34.45	NaN	NaN	NaN	1288.19	-34.47	NaN	1345.2	-34.3	6.89	39
7850	1188.37	-34.08	NaN	NaN	NaN	1293.71	-34.64	NaN	1350.89	-34.23	7.96	40
7900	1194.1	-34.45	NaN	NaN	NaN	1299.46	-34.5	NaN	1356.76	-34.38	8.11	41
7950	1199.4	-34.77	NaN	NaN	NaN	1304.9	-34.86	13.02	1362.38	-34.53	7.69	42
8000	1204.84	-34.29	NaN	NaN	NaN	1310.24	-34.47	9.35	1368.03	-34.44	8.06	43
8050	1210.33	-34.29	NaN	NaN	NaN	1315.56	-34.62	11.87	1373.78	-34.69	7.72	44
8100	1215.53	-34.67	NaN	NaN	NaN	1320.89	-35.18	11.42	1379.14	-34.99	6.54	45
8150	1220.59	-34.58	NaN	NaN	NaN	1326	-35.13	NaN	1384.45	-35.15	7.26	46
8200	1225.46	-35.51	NaN	NaN	NaN	1330.82	-35.66	8.5	1389.41	-35.35	8.94	47
8250	1229.7	-36.04	NaN	NaN	NaN	1335.34	-36.23	8.46	1393.99	-36.29	10.48	48
8300	1234.78	-35.51	NaN	NaN	NaN	1340.5	-35.29	6.98	1399.29	-35.36	9.14	49
8350	1240.06	-34.56	NaN	NaN	NaN	1345.88	-34.77	6.97	1404.71	-34.6	8.05	50
8400	1244.84	-34.81	NaN	NaN	NaN	1350.71	-34.79	10.27	1409.64	-34.72	7.74	51
8450	1249.69	-34.97	NaN	NaN	NaN	1355.76	-34.96	9.7	1414.76	-34.8	8.42	52
8500	1254.39	-34.77	NaN	NaN	NaN	1360.72	-34.79	6.39	1419.78	-34.71	7.47	53
8550	1259.43	-34.75	NaN	NaN	NaN	1365.86	-34.78	7.65	1424.94	-34.72	7.84	54
8600	1264.2	-34.52	NaN	NaN	NaN	1370.77	-34.59	7.93	1429.91	-34.72	8.02	55
8650	1268.88	-34.68	NaN	NaN	NaN	1375.74	-34.65	6.32	1434.92	-34.56	6.56	56
8700	1273.68	-35.22	NaN	NaN	NaN	1380.74	-35.19	6.53	1439.94	-34.7	6.55	57
8750	1278.35	-34.4	NaN	NaN	NaN	1385.71	-34.94	4.54	1445.01	-34.58	7.12	58
8800	1283.04	-34.76	NaN	NaN	NaN	1390.6	-34.75	5.28	1449.88	-34.35	5.37	59
8850	1287.69	-35.13	NaN	NaN	NaN	1395.45	-34.82	6.65	1454.72	-34.48	6.54	60
8900	1292.17	-34.71	NaN	NaN	NaN	1400.06	-34.93	7.35	1459.36	-34.77	6.65	61
8950	1296.73	-34.38	NaN	NaN	NaN	1404.98	-34.3	6.76	1464.26	-34.13	6.19	62
9000	1301.54	-34.5	NaN	NaN	NaN	1409.84	-34.06	6.54	1469.11	-34.33	6.97	63
9050	1305.96	-35.05	NaN	NaN	NaN	1414.5	-34.92	8.7	1473.73	-34.81	8.25	64
9100	1310.23	-34.97	NaN	NaN	NaN	1419.05	-34.87	8.17	1478.21	-34.53	7.95	65
9150	1314.79	-34.75	NaN	NaN	NaN	1423.94	-34.59	7.53	1482.99	-34.4	9.66	66
9200	1319.24	-34.48	NaN	NaN	NaN	1428.67	-34.31	5.64	1487.66	-34.59	6.24	67
9250	1323.72	-35.11	NaN	NaN	NaN	1433.31	-34.69	5.89	1492.23	-34.73	6.13	68
9300	1327.73	-35.71	NaN	NaN	NaN	1437.72	-35.31	6.37	1496.52	-35.06	7.36	69
9350	1331.65	-35.25	NaN	NaN	NaN	1442.1	-34.75	5.86	1500.8	-34.79	6.95	70
9400	1336.18	-34.6	NaN	NaN	NaN	1447.04	-34.52	5.31	1505.73	-34.31	6.78	71
9450	1340.32	-34.81	NaN	NaN	NaN	1451.85	-34.36	5.43	1510.41	-34.22	6.03	72
9500	1344.72	-35.09	NaN	NaN	NaN	1456.59	-34.39	7.08	1515.04	-34.7	8.3	73
9550	1348.71	-34.91	NaN	NaN	NaN	1461.02	-34.59	6.93	1519.42	-35.31	7.46	74
9600	1352.67	-34.8	1352.23	-34.68	NaN	1465.54	-34.86	8.7	1523.94	-35.03	8.03	75
9650	1356.89	-35.02	1356.51	-34.87	NaN	1470.04	-34.63	12.33	1528.39	-34.76	11.95	76
9700	1360.87	-34.73	1360.57	-34.54	NaN	1474.41	-34.65	8.29	1532.75	-34.49	9.09	77
9750	1365.01	-34.64	1364.58	-34.57	NaN	1478.88	-34.53	7.52	1537.24	-34.71	8.38	78
9800	1369.07	-34.69	1368.62	-34.53	NaN	1483.37	-34.87	7.5	1541.74	-34.31	7.38	79
9850	NaN	NaN	1372.58	-35.06	NaN	1487.7	-34.71	8.9	1546.03	-34.69	9.64	80
9900	NaN	NaN	1376.7	-34.91	NaN	1492.21	-34.67	8.44	1550.54	-34.96	7.41	81
9950	NaN	NaN	1380.5	-35.32	NaN	1496.38	-34.91	7.4	1554.71	-35.09	7.2	82
10000	NaN	NaN	1384.34	-34.8	NaN	1500.59	-34.58	8.2	1558.96	-34.74	8.62	83
10050	NaN	NaN	1388.08	-35.21	NaN	1504.83	-34.76	6.4	1563.26	-34.51	7.44	84
10100	NaN	NaN	1391.72	-35.33	NaN	1508.79	-35.39	6.63	1567.22	-34.99	8.53	85
10150	NaN	NaN	1395.34	-35.31	NaN	1512.89	-35.15	5.48	1571.3	-35.41	8.44	86
10200	NaN	NaN	1399.13	-34.94	NaN	1516.97	-34.97	5.94	1575.39	-35.43	8.18	87
