%	"NGRIP, GRIP and GISP2 ?18O and calcium concentration in 50 yrs means on the GICC05modelext timescale"
%
%   Please note that this file has been modified for the SEAMUS tutorial by Bryan Lougheed (duplicate measurements averaged)
%   This file is, therefore, only meant for demonstration purposes for the SEAMUS tutorial and not to be used for research.
%   For the original data, please consult the original excel file by the original authors, which you can download from here: http://www.iceandclimate.nbi.ku.dk/data/
%
%	2	3	4	5	6	7	8	9	10	11	12	13
%Age	NGRIP1 depth	d18O NGRIP1	NGRIP2 depth	d18O NGRIP2	[Ca2+] NGRIP2	GRIP depth	d18O GRIP	[Ca2+] GRIP	GISP2 depth	d18O GISP2	[Ca2+] GISP2	MCE
%(years b2k)	(m)	(?)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(years)
60050	NaN	NaN	2427.11	-42.75	344.46	2480.77	-41.35	236.43	2511.12	-41.46	371.99	2604
60100	NaN	NaN	2427.67	-43.42	323.34	2481.16	-41.83	251.54	2511.47	-41.82	483.29	2607
60150	NaN	NaN	2428.23	-43.27	330.28	2481.55	-40.66	281.91	2511.83	-40.76	462.45	2610
60200	NaN	NaN	2428.78	-43.46	349.45	2481.93	-40.18	297.68	2512.18	-40.31	338.32	2611
60250	NaN	NaN	2429.32	-42.9	297.49	2482.3	-40.22	289.92	2512.52	-40.33	292.93	NaN
60300	NaN	NaN	2429.88	-42.51	324.61	2482.69	-40.45	312.6	2512.88	-40.52	299.85	NaN
60350	NaN	NaN	2430.44	-43.22	355.48	2483.07	-39.56	326.54	2513.23	-40.47	340.07	NaN
60400	NaN	NaN	2430.99	-43.04	338.58	2483.45	-40.72	314.45	2513.58	-40.32	380.23	NaN
60450	NaN	NaN	2431.54	-43.17	349.19	2483.83	-40.14	229.27	2513.93	-39.97	338.09	NaN
60500	NaN	NaN	2432.09	-43.18	303.24	2484.21	-40.38	246.29	2514.28	-40.58	335.88	NaN
60550	NaN	NaN	2432.63	-43.03	349.54	2484.59	-40.15	253.87	2514.62	-40.84	378.2	NaN
60600	NaN	NaN	2433.18	-42.91	367.8	2484.97	-40.87	208.87	2514.97	-40.92	425.5	NaN
60650	NaN	NaN	2433.72	-43.29	317.52	2485.34	-41.3	227.63	2515.31	-41.22	379.34	NaN
60700	NaN	NaN	2434.24	-42.83	356.74	2485.7	-40	320.63	2515.64	-41.08	398.01	NaN
60750	NaN	NaN	2434.75	-43.62	345.49	2486.05	-40.51	276.99	2515.96	-40.68	446.88	NaN
60800	NaN	NaN	2435.25	-43.14	338.82	2486.4	-40.64	262.25	2516.27	-41.02	351.19	NaN
60850	NaN	NaN	2435.74	-43.87	360.26	2486.74	-40.95	269.99	2516.57	-41.17	421.15	NaN
60900	NaN	NaN	2436.22	-43.93	391.81	2487.07	-40.58	290.6	2516.87	-41.49	500.72	NaN
60950	NaN	NaN	2436.7	-43.01	361.58	2487.4	-40.65	286.42	2517.17	-41.12	468.52	NaN
61000	NaN	NaN	2437.17	-44.03	360.85	2487.72	-40.48	295.4	2517.46	-40.57	402.53	NaN
61050	NaN	NaN	2437.65	-44.39	396.89	2488.06	-39.01	290.64	2517.76	-39.86	412.61	NaN
61100	NaN	NaN	2438.12	-43.3	397.18	2488.38	-40.97	284.08	2518.05	-40.26	485.77	NaN
61150	NaN	NaN	2438.58	-44.2	389.15	2488.7	-40.4	286.65	2518.33	-41.85	461.56	NaN
61200	NaN	NaN	2439.06	-43.26	388.66	2489.03	-40.8	290.14	2518.63	-40.95	527.23	NaN
61250	NaN	NaN	2439.54	-43.74	367.49	2489.36	-41.83	326.54	2518.93	-40.37	408.21	NaN
61300	NaN	NaN	2440.03	-43.59	384.36	2489.7	-41.17	376.38	2519.23	-41.43	437.26	NaN
61350	NaN	NaN	2440.54	-43.54	330.11	2490.05	-40.08	282.72	2519.55	-40.42	395.57	NaN
61400	NaN	NaN	2441.04	-42.3	364.97	2490.4	-41.78	352.53	2519.86	-40.65	368.39	NaN
61450	NaN	NaN	2441.51	-43.62	343.46	2490.72	-41.57	345.32	2520.15	-41.15	435.08	NaN
61500	NaN	NaN	2441.97	-43.19	405.5	2491.04	-41.2	351.68	2520.43	-41.61	531.38	NaN
61550	NaN	NaN	2442.42	-44.97	386.86	2491.35	-41.24	334.57	2520.71	-41.35	566.42	NaN
61600	NaN	NaN	2442.88	-44.85	387	2491.67	-41.87	296.06	2521	-41.51	520.86	NaN
61650	NaN	NaN	2443.32	-43.72	378.97	2491.97	-41.57	306.03	2521.27	-40.85	402.78	NaN
61700	NaN	NaN	2443.76	-43.14	407.15	2492.28	-42.24	385.59	2521.54	-40.84	372.25	NaN
61750	NaN	NaN	2444.2	-42.83	358.29	2492.58	-41	309.86	2521.81	-39.94	476.14	NaN
61800	NaN	NaN	2444.66	-44.38	437.58	2492.9	-41.54	377.32	2522.1	-41.02	416.1	NaN
61850	NaN	NaN	2445.12	-44.42	490.01	2493.22	-41.43	361.99	2522.38	-40.73	442.67	NaN
61900	NaN	NaN	2445.55	-43.83	444.08	2493.52	-41.13	359.3	2522.65	-41.47	562.86	NaN
61950	NaN	NaN	2445.97	-43.85	477.75	2493.81	-40.56	355.94	2522.91	-41.08	595.38	NaN
62000	NaN	NaN	2446.39	-43.12	397.07	2494.1	-40.74	380.69	2523.17	-41.42	568.75	NaN
62050	NaN	NaN	2446.83	-45.23	477.65	2494.4	-40.98	380.22	2523.44	-40.78	548.05	NaN
62100	NaN	NaN	2447.24	-44.3	429.65	2494.68	-39.25	371.83	2523.7	-41.1	437.46	NaN
62150	NaN	NaN	2447.65	-44.24	462.5	2494.97	-41.88	374.63	2523.95	-41.68	515.65	NaN
62200	NaN	NaN	2448.05	-42.67	525.6	2495.24	-41.65	467.36	2524.2	-42.25	533.58	NaN
62250	NaN	NaN	2448.47	-44.74	480.93	2495.53	-41.92	423.61	2524.46	-41.97	590.71	NaN
62300	NaN	NaN	2448.87	-44.13	411.41	2495.81	-40.44	340.11	2524.71	-41.91	487.82	NaN
62350	NaN	NaN	2449.28	-44.3	457.54	2496.09	-41.71	443.94	2524.96	-41.76	594.03	NaN
62400	NaN	NaN	2449.66	-43.71	441.67	2496.36	-42.77	403.28	2525.19	-41.32	506.04	NaN
62450	NaN	NaN	2450.05	-44.74	481.45	2496.63	-40.85	293.57	2525.44	-42.01	527.34	NaN
62500	NaN	NaN	2450.44	-44.79	458.36	2496.9	-42.16	374.25	2525.68	-41.83	544.19	NaN
62550	NaN	NaN	2450.83	-44.46	329.57	2497.16	-41.53	453.21	2525.92	-41.96	532.38	NaN
62600	NaN	NaN	2451.19	-44.49	487.49	2497.41	-41.96	456.31	2526.14	-41.67	537.04	NaN
62650	NaN	NaN	2451.57	-43.85	515.53	2497.68	-42.33	444.15	2526.38	-41.48	522.58	NaN
62700	NaN	NaN	2451.95	-44.29	499.13	2497.94	-40.99	368.82	2526.62	-40.88	560.97	NaN
62750	NaN	NaN	2452.34	-45.55	446.16	2498.21	-41.45	408.23	2526.87	-41.45	526.38	NaN
62800	NaN	NaN	2452.72	-44.24	462.03	2498.47	-41.42	429.08	2527.11	-41.6	591.97	NaN
62850	NaN	NaN	2453.11	-43.08	482.51	2498.74	-42.1	354.99	2527.36	-41.41	619.42	NaN
62900	NaN	NaN	2453.5	-45.1	473.05	2499.01	-41.42	328.13	2527.61	-42.15	505.56	NaN
62950	NaN	NaN	2453.9	-44.24	377.83	2499.29	-41.38	337.54	2527.87	-41.39	474.28	NaN
63000	NaN	NaN	2454.29	-43.84	398.11	2499.56	-42.15	NaN	2528.12	-41.64	409.39	NaN
63050	NaN	NaN	2454.68	-43.77	495.88	2499.83	-42.69	307.22	2528.37	-42.14	462.88	NaN
63100	NaN	NaN	2455.07	-45.11	514.84	2500.1	-40.9	308.98	2528.62	-41.5	423.86	NaN
63150	NaN	NaN	2455.47	-44.23	413.25	2500.37	-40.41	256.11	2528.89	-41.04	376.12	NaN
63200	NaN	NaN	2455.87	-44.56	413.13	2500.65	-41.34	217.15	2529.15	-41.9	397.87	NaN
63250	NaN	NaN	2456.29	-44.15	316.03	2500.94	-40.81	189.91	2529.42	-41.02	314.96	NaN
63300	NaN	NaN	2456.72	-43.7	290.84	2501.24	-40.55	137.61	2529.7	-40.77	301.94	NaN
63350	NaN	NaN	2457.18	-43.39	262.02	2501.55	-41	165.46	2530	-40.94	265.23	NaN
63400	NaN	NaN	2457.64	-42.85	239.75	2501.87	-39.95	138.61	2530.3	-40.68	245.57	NaN
63450	NaN	NaN	2458.11	-43.32	262.8	2502.2	-40.82	139.12	2530.6	-41.99	296.74	NaN
63500	NaN	NaN	2458.58	-43.62	246.05	2502.52	-40.23	140.92	2530.91	-40.75	235.35	NaN
63550	NaN	NaN	2459.06	-43.68	243.12	2502.85	-40.37	187.38	2531.22	-40.07	239.19	NaN
63600	NaN	NaN	2459.53	-42.88	289.55	2503.18	-41.42	277.54	2531.53	-40.79	294.17	NaN
63650	NaN	NaN	2459.98	-43.39	237.1	2503.49	-41.02	220.29	2531.82	-40.74	273.68	NaN
63700	NaN	NaN	2460.43	-43.3	294.91	2503.8	-40.53	192.79	2532.11	-41.55	306.05	NaN
63750	NaN	NaN	2460.89	-44.36	230.05	2504.12	-39.52	173.74	2532.41	-41.1	269.28	NaN
63800	NaN	NaN	2461.38	-43.73	271.78	2504.46	-40.39	158.47	2532.73	-41.11	186.19	NaN
63850	NaN	NaN	2461.95	-43.91	176.25	2504.85	-39.36	89.23	2533.1	-41.11	183.51	NaN
63900	NaN	NaN	2462.6	-40.42	88.79	2505.3	-37.6	55.26	2533.53	-38.29	77.82	NaN
63950	NaN	NaN	2463.4	-40.05	75.21	2505.85	-37.56	50.39	2534.05	-38.26	74.64	NaN
64000	NaN	NaN	2464.28	-39.91	54.84	2506.46	-38.05	45.23	2534.62	-38.15	64.15	NaN
64050	NaN	NaN	2465.14	-39.79	62.4	2507.05	-38.04	46.46	2535.18	-38.12	60.1	NaN
64100	NaN	NaN	2465.85	-39.9	84.72	2507.55	-39.31	92.79	2535.64	-38.12	83.85	NaN
64150	NaN	NaN	2466.41	-42.14	200.88	2507.93	-41.25	165.25	2536.01	-40.31	209.25	NaN
64200	NaN	NaN	2466.89	-42.9	281.84	2508.26	-41.27	232.5	2536.32	-41.68	405.75	NaN
64250	NaN	NaN	2467.32	-44.65	388.49	2508.56	-42.12	306.66	2536.6	-42.35	510.37	NaN
64300	NaN	NaN	2467.71	-42.85	409.65	2508.83	-41.58	269.99	2536.85	-41.88	377.05	NaN
64350	NaN	NaN	2468.07	-43.72	424.5	2509.08	-41.02	239.31	2537.09	-41.6	375.1	NaN
64400	NaN	NaN	2468.41	-43.97	421.81	2509.31	-41.54	235.06	2537.31	-41.21	335.05	NaN
64450	NaN	NaN	2468.76	-43.54	417.65	2509.56	-41.68	310.84	2537.54	-40.95	418.95	NaN
64500	NaN	NaN	2469.09	-45.25	502.64	2509.78	-41.96	290.43	2537.75	-42.37	555.73	NaN
64550	NaN	NaN	2469.42	-45.18	512.7	2510.01	-42.28	267.17	2537.97	-41.74	517.94	NaN
64600	NaN	NaN	2469.74	-44.54	437.11	2510.23	-41.42	321.34	2538.18	-41.17	458.68	NaN
64650	NaN	NaN	2470.08	-43.94	500.23	2510.47	-41.48	268.13	2538.4	-40.84	466.3	NaN
64700	NaN	NaN	2470.41	-45.2	377.93	2510.7	-41.96	274.25	2538.61	-41.18	425.48	NaN
64750	NaN	NaN	2470.75	-44.1	475.26	2510.93	-40.71	241.72	2538.83	-41.66	492.35	NaN
64800	NaN	NaN	2471.1	-42.52	364.66	2511.17	-42.22	280.56	2539.06	-40.7	467.4	NaN
64850	NaN	NaN	2471.48	-44.23	380.53	2511.44	-41.56	243.47	2539.31	-40.33	431.44	NaN
64900	NaN	NaN	2471.85	-43.97	339.14	2511.69	-41.4	246.69	2539.55	-41.56	387.39	NaN
64950	NaN	NaN	2472.23	-43.8	345.05	2511.95	-40.81	254.86	2539.8	-40.59	369.17	NaN
65000	NaN	NaN	2472.6	-42.78	338.63	2512.21	-40.89	300.29	2540.04	-40.89	409.62	NaN
65050	NaN	NaN	2472.99	-43.82	404.87	2512.48	-41.73	251.84	2540.29	-41.64	443.93	NaN
65100	NaN	NaN	2473.39	-44.06	339.83	2512.76	-40.38	193.01	2540.55	-41.29	422.28	NaN
65150	NaN	NaN	2473.8	-43.51	300.89	2513.04	-39.63	228.38	2540.82	-40.49	345.57	NaN
65200	NaN	NaN	2474.18	-42.67	303.66	2513.3	-40.63	252.08	2541.07	-40.45	294.15	NaN
65250	NaN	NaN	2474.57	-43.39	319.39	2513.57	-42.41	340.92	2541.32	-40.99	338.12	NaN
65300	NaN	NaN	2474.94	-43.06	442.66	2513.83	-41.77	468.92	2541.56	-41.58	498.12	NaN
65350	NaN	NaN	2475.3	-44.78	503.71	2514.08	-41.56	442.78	2541.8	-42.49	622.41	NaN
65400	NaN	NaN	2475.66	-44.35	549.33	2514.33	-42.69	458.43	2542.03	-41.93	544.14	NaN
65450	NaN	NaN	2476	-44.41	521.34	2514.56	-41.55	NaN	2542.25	-41.18	491.5	NaN
65500	NaN	NaN	2476.33	-44.14	486.37	2514.79	-42.12	318.46	2542.47	-41.25	468.33	NaN
65550	NaN	NaN	2476.67	-44.36	495.7	2515.02	-42.91	331.53	2542.69	-41.94	579.09	NaN
65600	NaN	NaN	2477.01	-44.55	381.27	2515.26	-42.3	283.97	2542.91	-42.62	546.35	NaN
65650	NaN	NaN	2477.35	-43.27	466.22	2515.49	-42.38	369.87	2543.13	-42.81	453.19	NaN
65700	NaN	NaN	2477.67	-44.25	477.71	2515.71	-42.27	400.32	2543.34	-42.06	517.11	NaN
65750	NaN	NaN	2478	-44.01	578.57	2515.94	-41.49	419.54	2543.55	-41.3	502.1	NaN
65800	NaN	NaN	2478.33	-44.19	573.99	2516.17	-41.53	332.38	2543.77	-41.55	561.21	NaN
65850	NaN	NaN	2478.67	-44.99	514.49	2516.41	-42.44	448.51	2543.99	-41.15	655.91	NaN
65900	NaN	NaN	2478.99	-44.69	505.04	2516.63	-42.66	381.89	2544.2	-41.96	600.05	NaN
65950	NaN	NaN	2479.32	-44.64	513.58	2516.86	-41.7	373.83	2544.41	-42.53	692.39	NaN
66000	NaN	NaN	2479.64	-44.17	498.65	2517.08	-41.52	375.43	2544.6	-41.23	662.7	NaN
66050	NaN	NaN	2479.98	-44.08	507.9	2517.31	-42.41	437.62	2544.81	-42.78	817.69	NaN
66100	NaN	NaN	2480.34	-43.68	512.84	2517.56	-41.7	377.55	2545.03	-42.23	599.06	NaN
66150	NaN	NaN	2480.71	-43.75	523.33	2517.82	-41.12	314.14	2545.26	-41.53	564.76	NaN
66200	NaN	NaN	2481.07	-44.31	514.95	2518.06	-41.56	311.22	2545.48	-41.25	631.55	NaN
66250	NaN	NaN	2481.45	-42.61	397.31	2518.33	-41.24	269.51	2545.72	-41.61	402.64	NaN
66300	NaN	NaN	2481.81	-44.4	383.98	2518.58	-40.99	273.44	2545.94	-42.45	472.53	NaN
66350	NaN	NaN	2482.18	-43.87	313.79	2518.83	-41.19	249.95	2546.2	-41.01	338.73	NaN
66400	NaN	NaN	2482.55	-43.28	481.41	2519.09	-42.08	290.29	2546.46	-41.16	424.21	NaN
66450	NaN	NaN	2482.9	-44.48	432.08	2519.33	-41.34	263.45	2546.71	-40.71	475.66	NaN
66500	NaN	NaN	2483.23	-44.79	386.23	2519.56	-41.1	264.31	2546.94	-41.24	372.94	NaN
66550	NaN	NaN	2483.59	-44.13	368.84	2519.81	-41.27	226.01	2547.2	-41.57	379.4	NaN
66600	NaN	NaN	2483.95	-43.74	313.15	2520.05	-41.76	215.75	2547.45	-41.16	314.72	NaN
66650	NaN	NaN	2484.32	-44.87	334.26	2520.31	-41.89	248.03	2547.71	-40.87	397.5	NaN
66700	NaN	NaN	2484.69	-42.49	304.58	2520.57	-41.25	247.36	2547.98	-41.18	345.73	NaN
66750	NaN	NaN	2485.07	-43.06	296.5	2520.83	-41.59	235.79	2548.24	-41.04	338.91	NaN
66800	NaN	NaN	2485.45	-43.73	279.03	2521.09	-40.54	255.71	2548.49	-41.11	378.25	NaN
66850	NaN	NaN	2485.85	-44.11	303.26	2521.37	-42.12	247.58	2548.74	-40.65	309.32	NaN
66900	NaN	NaN	2486.23	-43.66	320.44	2521.63	-40.87	264.41	2548.97	-40.92	280.02	NaN
66950	NaN	NaN	2486.61	-42.79	280.19	2521.89	-41.37	208.98	2549.21	-41.91	333.68	NaN
67000	NaN	NaN	2486.97	-44.07	261.65	2522.14	-40.94	171.75	2549.43	-41.88	348.76	NaN
67050	NaN	NaN	2487.34	-44.29	314.42	2522.4	-41.88	249.66	2549.66	-41.7	342.46	NaN
67100	NaN	NaN	2487.7	-43.56	328.42	2522.65	-41.36	231.09	2549.9	-42.1	367.21	NaN
67150	NaN	NaN	2488.05	-43.27	248.34	2522.89	-41.45	201.05	2550.14	-41.32	338.41	NaN
67200	NaN	NaN	2488.42	-44.8	314.92	2523.14	-41.46	199.5	2550.4	-40.4	399.29	NaN
67250	NaN	NaN	2488.8	-44.8	321.9	2523.41	-42.25	193.65	2550.66	-41.53	342.69	NaN
67300	NaN	NaN	2489.21	-43.22	256.45	2523.69	-41.55	177.16	2550.94	-41.53	332.87	NaN
67350	NaN	NaN	2489.62	-42.95	263.55	2523.97	-41.3	187.94	2551.22	-41.07	262.01	NaN
67400	NaN	NaN	2490.04	-43.12	238.61	2524.26	-41.08	164.64	2551.51	-41.02	310.72	NaN
67450	NaN	NaN	2490.48	-41.49	233.43	2524.57	-41.41	190.11	2551.82	-40.4	307.87	NaN
67500	NaN	NaN	2490.9	-43.22	315.14	2524.86	-41.92	297.62	2552.11	-42	291.62	NaN
67550	NaN	NaN	2491.3	-42.74	317.89	2525.13	-41.8	308.58	2552.38	-41.07	383.53	NaN
67600	NaN	NaN	2491.67	-44.62	342.74	2525.39	-42.06	336.52	2552.64	-40.94	480.24	NaN
67650	NaN	NaN	2492.04	-43.83	477.08	2525.65	-42.07	371.5	2552.89	-41.94	478.73	NaN
67700	NaN	NaN	2492.39	-44.92	365.27	2525.89	-41.54	317.87	2553.13	-42.54	476.19	NaN
67750	NaN	NaN	2492.73	-44.13	358.99	2526.12	-42.01	362.63	2553.36	-41.98	493.67	NaN
67800	NaN	NaN	2493.07	-43.47	342.27	2526.36	-42.22	306.77	2553.59	-41.87	375.34	NaN
67850	NaN	NaN	2493.41	-44.05	296.41	2526.59	-41.78	334.94	2553.82	-42.12	442.58	NaN
67900	NaN	NaN	2493.75	-44.65	342.9	2526.83	-41.44	311.75	2554.05	-42.36	495.32	NaN
67950	NaN	NaN	2494.11	-43.63	355.98	2527.08	-42.11	321.44	2554.29	-41.79	463.26	NaN
68000	NaN	NaN	2494.46	-43.45	377.85	2527.32	-39.9	414.63	2554.52	-41.51	462.27	NaN
68050	NaN	NaN	2494.8	-44.49	331.42	2527.55	-41.93	382.1	2554.73	-42.23	437.65	NaN
68100	NaN	NaN	2495.16	-44.46	274.71	2527.8	-42.19	319.4	2554.96	-42.85	409.59	NaN
68150	NaN	NaN	2495.52	-43.16	379.45	2528.05	-41.64	343.43	2555.2	-41.91	345.74	NaN
68200	NaN	NaN	2495.87	-44.94	377.16	2528.29	-42.3	350.11	2555.42	-41.8	716.53	NaN
68250	NaN	NaN	2496.24	-44.03	335.14	2528.55	-42.15	360.29	2555.67	-42.03	415.64	NaN
68300	NaN	NaN	2496.59	-42.61	268.11	2528.79	-41.95	284.98	2555.9	-42.42	401.08	NaN
68350	NaN	NaN	2496.95	-44.09	249.34	2529.04	-42.6	289.27	2556.13	-43.24	370.9	NaN
68400	NaN	NaN	2497.3	-43.38	306.52	2529.28	-42.48	308.2	2556.36	-42.14	392.78	NaN
68450	NaN	NaN	2497.66	-44.18	281.13	2529.53	-41.45	275.65	2556.6	-42.7	327.86	NaN
68500	NaN	NaN	2498.02	-44.74	324.38	2529.78	-41.21	142.15	2556.83	-40.85	348.32	NaN
68550	NaN	NaN	2498.38	-44.83	265.39	2530.03	-41.63	209.02	2557.07	-41.26	351.07	NaN
68600	NaN	NaN	2498.73	-43.15	270.93	2530.27	-41.25	166.18	2557.3	-42.46	356.55	NaN
68650	NaN	NaN	2499.08	-43.44	303.37	2530.51	-41.87	192.51	2557.53	-42.82	361.63	NaN
68700	NaN	NaN	2499.44	-43.51	341.64	2530.76	-41.77	178.73	2557.76	-41.92	427.54	NaN
68750	NaN	NaN	2499.82	-43.73	287.65	2531.02	-41.85	149.1	2558.01	-41.97	403.05	NaN
68800	NaN	NaN	2500.19	-44.28	198.43	2531.28	-40.57	134.04	2558.25	-41.74	246.29	NaN
68850	NaN	NaN	2500.57	-43.4	234.49	2531.54	-41.75	134.88	2558.5	-42.59	258.29	NaN
68900	NaN	NaN	2500.96	-43.72	243.02	2531.81	-41.46	149.13	2558.76	-41.46	248.39	NaN
68950	NaN	NaN	2501.35	-43.57	201.11	2532.08	-41.2	125.05	2559.02	-41.19	219.06	NaN
69000	NaN	NaN	2501.74	-43.12	180.59	2532.35	-40.72	118.95	2559.28	-41.02	214.37	NaN
69050	NaN	NaN	2502.13	-42.8	183.59	2532.62	-41.03	127.92	2559.54	-42.03	219.84	NaN
69100	NaN	NaN	2502.49	-43.66	206.03	2532.87	-42.21	151.04	2559.78	-42.31	270.62	NaN
69150	NaN	NaN	2502.87	-43.91	228.82	2533.13	-42.09	154.03	2560.03	-40.62	285.57	NaN
69200	NaN	NaN	2503.23	-43.69	222.74	2533.38	-42.27	158.96	2560.27	-41.84	291.29	NaN
69250	NaN	NaN	2503.6	-44.97	262.09	2533.64	-41.45	138.56	2560.52	-42.02	357.85	NaN
69300	NaN	NaN	2503.98	-43.72	228.87	2533.9	-41.79	134.61	2560.77	-41.32	289.68	NaN
69350	NaN	NaN	2504.4	-43.47	204.69	2534.19	-41.28	166.38	2561.05	-41.23	230.05	NaN
69400	NaN	NaN	2504.86	-43.16	189.38	2534.51	-41.07	151.76	2561.36	-40.99	176.48	NaN
69450	NaN	NaN	2505.41	-41.46	114.3	2534.94	-39.96	98.97	2561.76	-40.01	117.87	NaN
69500	NaN	NaN	2506.06	-40.49	67	2535.43	-38.94	60.53	2562.23	-38.83	77.85	NaN
69550	NaN	NaN	2506.75	-39.89	49.99	2535.96	-38.13	43.84	2562.73	-38.25	69.07	NaN
69600	NaN	NaN	2507.37	-38.93	64.23	2536.44	-38.49	57	2563.18	-37.92	68.08	NaN
69650	NaN	NaN	2507.9	-42.03	161.54	2536.84	-41.44	168.04	2563.56	-40.54	254.03	NaN
69700	NaN	NaN	2508.28	-44.67	278.04	2537.13	-42.14	275.26	2563.84	-42.73	410.11	NaN
69750	NaN	NaN	2508.61	-44.55	332.42	2537.39	-41.89	285.45	2564.08	-42.97	431.19	NaN
69800	NaN	NaN	2508.9	-43.84	399.02	2537.61	-41.76	325.12	2564.29	-42.24	442.12	NaN
69850	NaN	NaN	2509.19	-44.87	471.9	2537.83	-41.32	371.67	2564.5	-41.96	520.74	NaN
69900	NaN	NaN	2509.46	-44.17	518.55	2538.04	-42.51	313	2564.7	-41.86	527.36	NaN
69950	NaN	NaN	2509.75	-43.71	398.27	2538.26	-43.07	342.73	2564.92	-43.21	509.32	NaN
70000	NaN	NaN	2510.04	-43.29	372.23	2538.48	-42.75	336.28	2565.13	-43.35	512.47	NaN
70050	NaN	NaN	2510.35	-44.48	457.5	2538.72	-42.84	334.35	2565.36	-42.57	467.01	NaN
70100	NaN	NaN	2510.65	-43.67	385.36	2538.95	-40.92	224.05	2565.59	-42.3	394.98	NaN
70150	NaN	NaN	2510.97	-42.88	362.27	2539.2	-42.28	256.11	2565.83	-41.32	352.11	NaN
70200	NaN	NaN	2511.29	-43.03	323.28	2539.44	-42.6	229.72	2566.06	-41.45	299.47	NaN
70250	NaN	NaN	2511.62	-43.59	273.61	2539.69	-41.55	168.75	2566.32	-41.48	249.39	NaN
70300	NaN	NaN	2511.96	-43.4	232.01	2539.95	-41.29	146.32	2566.58	-41.55	201.58	NaN
70350	NaN	NaN	2512.32	-43.24	191.79	2540.23	-40.51	178.14	2566.85	-41.83	175.41	NaN
70400	NaN	NaN	2512.69	-42.96	166.85	2540.51	-40.16	117.81	2567.13	-41.42	191.45	NaN
70450	NaN	NaN	2513.07	-42.75	137.78	2540.81	-40.28	79.55	2567.43	-40.38	143.47	NaN
70500	NaN	NaN	2513.46	-41.43	112.39	2541.1	-40.79	81.07	2567.72	-40.99	111.79	NaN
70550	NaN	NaN	2513.88	-42.3	98.93	2541.43	-40.31	65.11	2568.04	-40.18	101.04	NaN
70600	NaN	NaN	2514.3	-42.14	89.23	2541.75	-39.51	60.53	2568.37	-40.16	79.17	NaN
70650	NaN	NaN	2514.74	-41.62	80.61	2542.09	-39.37	60.27	2568.7	-40.34	87.18	NaN
70700	NaN	NaN	2515.16	-41.85	86.78	2542.41	-40.17	54.76	2569.02	-40.42	89.33	NaN
70750	NaN	NaN	2515.6	-42.23	90.77	2542.74	-39.54	54.25	2569.36	-40.5	89.56	NaN
70800	NaN	NaN	2516.07	-41.54	80.93	2543.1	-39.95	49.65	2569.72	-39.92	77.69	NaN
70850	NaN	NaN	2516.55	-41.84	58.95	2543.47	-38.77	41.6	2570.09	-39.83	63.63	NaN
70900	NaN	NaN	2517.05	-40.42	60.21	2543.86	-38.28	39.27	2570.47	-38.67	46.46	NaN
70950	NaN	NaN	2517.58	-40.75	63.09	2544.26	-38.42	33.27	2570.87	-38.11	37.42	NaN
71000	NaN	NaN	2518.14	-40.26	44.89	2544.69	-38.12	34.27	2571.3	-37.92	35.52	NaN
71050	NaN	NaN	2518.69	-39.92	46.21	2545.11	-38.35	32.67	2571.72	-37.9	38.1	NaN
71100	NaN	NaN	2519.25	-40.01	46.8	2545.54	-38.63	34.21	2572.15	-38.11	39.17	NaN
71150	NaN	NaN	2519.83	-40.89	41.5	2545.99	-38.32	40.93	2572.6	-38.37	35.73	NaN
71200	NaN	NaN	2520.4	-40.43	44.62	2546.42	-38.23	41.97	2573.03	-37.97	33.05	NaN
71250	NaN	NaN	2521	-39.64	33.33	2546.88	-38.46	45.18	2573.49	-38.47	44.41	NaN
71300	NaN	NaN	2521.61	-39.55	33.1	2547.33	-38.11	38.83	2573.93	-37.87	33.5	NaN
71350	NaN	NaN	2522.23	-39.65	36.34	2547.76	-37.56	24.66	2574.36	-38.08	39.03	NaN
71400	NaN	NaN	2522.85	-39.88	34.25	2548.19	-38.49	29.08	2574.79	-37.87	36.23	NaN
71450	NaN	NaN	2523.47	-39.98	36.98	2548.62	-37.8	27.63	2575.22	-38.82	37.25	NaN
71500	NaN	NaN	2524.09	-39.26	37.1	2549.05	-37.48	24.82	2575.65	-37.78	33.88	NaN
71550	NaN	NaN	2524.73	-39.5	38.85	2549.5	-37.94	26.7	2576.1	-37.47	37.71	NaN
71600	NaN	NaN	2525.37	-39.34	42.1	2549.95	-37.64	27.82	2576.56	-37.75	30.53	NaN
71650	NaN	NaN	2526.03	-39.67	30.95	2550.44	-38.18	22.32	2577.06	-38.48	35.49	NaN
71700	NaN	NaN	2526.69	-39.13	27.82	2550.92	-37.97	24.22	2577.56	-37.73	35.65	NaN
71750	NaN	NaN	2527.37	-38.97	33.3	2551.42	-37.39	21.82	2578.08	-37.5	36.99	NaN
71800	NaN	NaN	2528.07	-39.13	48.86	2551.94	-37.75	32.95	2578.61	-37.77	49.1	NaN
71850	NaN	NaN	2528.79	-38.55	30.11	2552.46	-37.35	28.41	2579.12	-37.29	33.14	NaN
71900	NaN	NaN	2529.52	-38.52	26.59	2553.02	-36.65	29.72	2579.65	-36.96	29.3	NaN
71950	NaN	NaN	2530.26	-38.43	26.72	2553.59	-36.89	32.05	2580.2	-37.39	29.41	NaN
